Basic_data_and_indicators,,,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Cruise passengers only.
,Total,,Thousands,44,102,80,77,96,106,106,99,102,99,126,154,167,197,226,238,249,321,357,329,287,351,333,350,256,82,..,
,,Air,Thousands,42,45,49,52,51,58,53,49,50,61,62,68,81,91,101,97,94,108,110,109,90,95,109,116,121,22,..,
,,Water,Thousands,2,57,31,25,45,48,53,50,52,38,64,86,86,106,125,141,155,213,247,220,197,256,224,234,135,60,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
"VENEZUELA, BOLIVARIAN REPUBLIC OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,700,758,814,685,587,467,584,430,335,485,710,718,755,699,561,526,595,988,986,857,788,601,427,..,..,..,..,
,,Air,Thousands,614,665,714,682,584,453,578,298,258,380,595,565,607,651,529,489,529,721,752,614,549,524,351,..,..,..,..,
,,Water,Thousands,2,3,3,3,3,8,3,117,77,105,115,134,121,3,5,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,84,90,97,..,..,6,3,15,..,..,..,19,27,45,27,37,66,267,233,242,239,78,76,..,..,..,..,
VIET NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including nationals residing abroad.
2/ Including cruise and sea passengers."
,Total,,Thousands,1351,1607,1715,1520,1782,2140,2330,2628,2429,2928,3477,3583,4229,4236,3747,5050,6014,6848,7572,7874,7944,10013,12922,15498,18009,3837,157,
,,Air,Thousands,1207,940,1034,874,1022,1113,1294,1540,1395,1822,2335,2702,3301,3283,3025,4062,5032,5576,5980,6220,6271,8261,10910,12485,14378,3083,111,
,,Water,Thousands,21,162,131,157,188,256,285,309,241,263,200,224,225,152,66,50,46,286,193,48,170,285,259,215,264,145,1,
,,Land,Thousands,123,505,550,489,572,771,751,779,793,843,942,657,703,801,656,938,936,986,1399,1606,1503,1467,1753,2798,3367,609,46,
YEMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ From 2006 including nationals residing abroad.
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,381,380,404,1028,1025,829,874,990,..,367,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,145,144,143,492,424,268,382,411,..,179,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,4,3,13,9,8,2,2,3,..,1,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,232,233,248,527,593,558,490,576,..,187,..,..,..,..,..,..,
ZAMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,163,264,341,362,404,458,492,565,413,515,668,757,897,812,710,815,920,859,915,947,932,956,1009,1072,1266,502,554,
,,Air,Thousands,41,31,36,42,46,57,62,71,104,137,164,227,281,236,191,249,297,252,241,262,273,286,294,319,327,89,106,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,8,4,3,7,7,5,6,3,7,
,,Land,Thousands,122,233,305,320,358,401,430,494,309,378,504,530,616,576,519,566,623,599,666,680,656,664,708,749,934,410,442,
ZIMBABWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,2087,2250,1967,2763,2078,2356,1854,1558,2287,2506,1955,2017,2239,2423,1794,1833,1880,2057,2168,2423,2580,2294,639,381,
,,Air,Thousands,..,..,..,324,504,463,452,340,340,330,327,275,982,429,573,326,350,228,223,198,281,239,310,337,321,77,147,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,1763,1746,1504,2311,1738,2016,1524,1231,2012,1524,1526,1444,1913,2073,1566,1610,1682,1776,1929,2113,2243,1973,562,233,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The information is the same as that provided in the ""Compendium of Tourism Statistics""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: World Tourism Organization (UNWTO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
